,RunId,iteration,Step,init_people,rich_threshold,reserve_percent,Model Params,Run,AgentID,Wealth
0,0,0,1000,100,7,5,"(100, 7, 5)",1,0,-8
1,0,0,1000,100,7,5,"(100, 7, 5)",1,1,-51
2,0,0,1000,100,7,5,"(100, 7, 5)",1,2,95
3,0,0,1000,100,7,5,"(100, 7, 5)",1,3,50
4,0,0,1000,100,7,5,"(100, 7, 5)",1,4,-33
5,0,0,1000,100,7,5,"(100, 7, 5)",1,5,-21
6,0,0,1000,100,7,5,"(100, 7, 5)",1,6,-34
7,0,0,1000,100,7,5,"(100, 7, 5)",1,7,135
8,0,0,1000,100,7,5,"(100, 7, 5)",1,8,-76
9,0,0,1000,100,7,5,"(100, 7, 5)",1,9,-20
10,0,0,1000,100,7,5,"(100, 7, 5)",1,10,35
11,0,0,1000,100,7,5,"(100, 7, 5)",1,11,30
12,0,0,1000,100,7,5,"(100, 7, 5)",1,12,3
13,0,0,1000,100,7,5,"(100, 7, 5)",1,13,-15
14,0,0,1000,100,7,5,"(100, 7, 5)",1,14,6
15,0,0,1000,100,7,5,"(100, 7, 5)",1,15,105
16,0,0,1000,100,7,5,"(100, 7, 5)",1,16,39
17,0,0,1000,100,7,5,"(100, 7, 5)",1,17,14
18,0,0,1000,100,7,5,"(100, 7, 5)",1,18,56
19,0,0,1000,100,7,5,"(100, 7, 5)",1,19,47
20,0,0,1000,100,7,5,"(100, 7, 5)",1,20,14
21,0,0,1000,100,7,5,"(100, 7, 5)",1,21,87
22,0,0,1000,100,7,5,"(100, 7, 5)",1,22,-42
23,0,0,1000,100,7,5,"(100, 7, 5)",1,23,43
24,0,0,1000,100,7,5,"(100, 7, 5)",1,24,-3
25,0,0,1000,100,7,5,"(100, 7, 5)",1,25,42
26,0,0,1000,100,7,5,"(100, 7, 5)",1,26,-67
27,0,0,1000,100,7,5,"(100, 7, 5)",1,27,-17
28,0,0,1000,100,7,5,"(100, 7, 5)",1,28,-89
29,0,0,1000,100,7,5,"(100, 7, 5)",1,29,-32
30,0,0,1000,100,7,5,"(100, 7, 5)",1,30,26
31,0,0,1000,100,7,5,"(100, 7, 5)",1,31,23
32,0,0,1000,100,7,5,"(100, 7, 5)",1,32,-29
33,0,0,1000,100,7,5,"(100, 7, 5)",1,33,68
34,0,0,1000,100,7,5,"(100, 7, 5)",1,34,13
35,0,0,1000,100,7,5,"(100, 7, 5)",1,35,42
36,0,0,1000,100,7,5,"(100, 7, 5)",1,36,60
37,0,0,1000,100,7,5,"(100, 7, 5)",1,37,49
38,0,0,1000,100,7,5,"(100, 7, 5)",1,38,21
39,0,0,1000,100,7,5,"(100, 7, 5)",1,39,-38
40,0,0,1000,100,7,5,"(100, 7, 5)",1,40,-3
41,0,0,1000,100,7,5,"(100, 7, 5)",1,41,47
42,0,0,1000,100,7,5,"(100, 7, 5)",1,42,98
43,0,0,1000,100,7,5,"(100, 7, 5)",1,43,12
44,0,0,1000,100,7,5,"(100, 7, 5)",1,44,-10
45,0,0,1000,100,7,5,"(100, 7, 5)",1,45,-74
46,0,0,1000,100,7,5,"(100, 7, 5)",1,46,-37
47,0,0,1000,100,7,5,"(100, 7, 5)",1,47,14
48,0,0,1000,100,7,5,"(100, 7, 5)",1,48,22
49,0,0,1000,100,7,5,"(100, 7, 5)",1,49,45
50,0,0,1000,100,7,5,"(100, 7, 5)",1,50,124
51,0,0,1000,100,7,5,"(100, 7, 5)",1,51,46
52,0,0,1000,100,7,5,"(100, 7, 5)",1,52,59
53,0,0,1000,100,7,5,"(100, 7, 5)",1,53,-65
54,0,0,1000,100,7,5,"(100, 7, 5)",1,54,-59
55,0,0,1000,100,7,5,"(100, 7, 5)",1,55,45
56,0,0,1000,100,7,5,"(100, 7, 5)",1,56,6
57,0,0,1000,100,7,5,"(100, 7, 5)",1,57,-71
58,0,0,1000,100,7,5,"(100, 7, 5)",1,58,-85
59,0,0,1000,100,7,5,"(100, 7, 5)",1,59,-56
60,0,0,1000,100,7,5,"(100, 7, 5)",1,60,-50
61,0,0,1000,100,7,5,"(100, 7, 5)",1,61,-51
62,0,0,1000,100,7,5,"(100, 7, 5)",1,62,-62
63,0,0,1000,100,7,5,"(100, 7, 5)",1,63,-58
64,0,0,1000,100,7,5,"(100, 7, 5)",1,64,-41
65,0,0,1000,100,7,5,"(100, 7, 5)",1,65,14
66,0,0,1000,100,7,5,"(100, 7, 5)",1,66,43
67,0,0,1000,100,7,5,"(100, 7, 5)",1,67,38
68,0,0,1000,100,7,5,"(100, 7, 5)",1,68,13
69,0,0,1000,100,7,5,"(100, 7, 5)",1,69,49
70,0,0,1000,100,7,5,"(100, 7, 5)",1,70,-63
71,0,0,1000,100,7,5,"(100, 7, 5)",1,71,-43
72,0,0,1000,100,7,5,"(100, 7, 5)",1,72,13
73,0,0,1000,100,7,5,"(100, 7, 5)",1,73,36
74,0,0,1000,100,7,5,"(100, 7, 5)",1,74,23
75,0,0,1000,100,7,5,"(100, 7, 5)",1,75,-45
76,0,0,1000,100,7,5,"(100, 7, 5)",1,76,44
77,0,0,1000,100,7,5,"(100, 7, 5)",1,77,-30
78,0,0,1000,100,7,5,"(100, 7, 5)",1,78,50
79,0,0,1000,100,7,5,"(100, 7, 5)",1,79,1
80,0,0,1000,100,7,5,"(100, 7, 5)",1,80,4
81,0,0,1000,100,7,5,"(100, 7, 5)",1,81,-42
82,0,0,1000,100,7,5,"(100, 7, 5)",1,82,-42
83,0,0,1000,100,7,5,"(100, 7, 5)",1,83,34
84,0,0,1000,100,7,5,"(100, 7, 5)",1,84,-107
85,0,0,1000,100,7,5,"(100, 7, 5)",1,85,23
86,0,0,1000,100,7,5,"(100, 7, 5)",1,86,118
87,0,0,1000,100,7,5,"(100, 7, 5)",1,87,8
88,0,0,1000,100,7,5,"(100, 7, 5)",1,88,-7
89,0,0,1000,100,7,5,"(100, 7, 5)",1,89,-54
90,0,0,1000,100,7,5,"(100, 7, 5)",1,90,74
91,0,0,1000,100,7,5,"(100, 7, 5)",1,91,-59
92,0,0,1000,100,7,5,"(100, 7, 5)",1,92,11
93,0,0,1000,100,7,5,"(100, 7, 5)",1,93,-13
94,0,0,1000,100,7,5,"(100, 7, 5)",1,94,55
95,0,0,1000,100,7,5,"(100, 7, 5)",1,95,-63
96,0,0,1000,100,7,5,"(100, 7, 5)",1,96,-5
97,0,0,1000,100,7,5,"(100, 7, 5)",1,97,49
98,0,0,1000,100,7,5,"(100, 7, 5)",1,98,-16
99,0,0,1000,100,7,5,"(100, 7, 5)",1,99,13
